code,simplename,FQN,assertion,fixed_code
"public class jdk19 {
    public static void h1() {
        int bufferSize = 1024
        char[] buffer = new char[bufferSize];
        StringBuilder out = new StringBuilder();
    }
}","int
char
StringBuilder
StringBuilder()","java.lang.int
java.lang.char
java.lang.StringBuilder
java.lang.StringBuilder()",Yes,"import java.lang.Integer;
import java.lang.Character;
import java.lang.StringBuilder;
public class jdk19 {
    public static void h1() {
        Integer bufferSize = 1024;
        Character[] buffer = new Character[bufferSize];
        StringBuilder out = new StringBuilder();
    }
}"
"public class jdk16 {
    public static void h1(String[] args) {
        SimpleDateFormat sf = new SimpleDateFormat("""")
        String str3 = """";
    }
}
","String
SimpleDateFormat
SimpleDateFormat()
String","java.lang.String
java.text.SimpleDateFormat
java.text.SimpleDateFormat()
java.lang.String",Yes,"import java.lang.String;
import java.text.SimpleDateFormat;
public class jdk16 {
    public static void h1(String[] args) {
        SimpleDateFormat sf = new SimpleDateFormat("""");
        String str3 = """";
    }
}"
"public class jdk14 {
    public static void h1(String aFile) throws IOException {
        Desktop desktop = Desktop.getDesktop();
        desktop.open(new File(aFile))
    }
}","String
IOException
Desktop
getDesktop()
open()
File
File()","java.lang.String
java.io.IOException
java.awt.Desktop
java.awt.Desktop.getDesktop()
java.awt.Desktop.open()
java.io.File
java.io.File()",Yes,"import java.lang.String;
import java.io.IOException;
import java.awt.Desktop;
import java.io.File;
public class jdk14 {
    public static void h1(String aFile) throws IOException {
        Desktop desktop = Desktop.getDesktop();
        desktop.open(new File(aFile));
    }
}"
"public class jdk13 {
    public static boolean isMac() {
        String os = System.getProperty( String );
        return os.contains( String )
    }
}","String
System
getProperty()
contains()","java.lang.String
java.lang.System
java.lang.System.getProperty()
java.lang.String.contains()",Yes,"import java.lang.String;
import java.lang.System;
public class jdk13 {
    public static boolean isMac() {
        String os = System.getProperty( ""os.name"" );
        return os.contains( ""Mac"" );
    }
}"
"public class jdk12 {
    public static boolean h1() {
        String os = System.getProperty( String ).toLowerCase()
        return os.indexOf( String ) != -1 || os.indexOf( String ) != -1;
    }
}","String
System
getProperty()
toLowerCase()
indexOf()","java.lang.String
java.lang.System
java.lang.System.getProperty()
java.lang.String.toLowerCase()
java.lang.String.indexOf()",Yes,"import java.lang.String;
import java.lang.System;
public class jdk12 {
    public static boolean h1() {
        String os = System.getProperty( ""os.name"" ).toLowerCase();
        return os.indexOf( ""win"" ) != -1 || os.indexOf( ""mac"" ) != -1;
    }
}"
"public class jdk11 {
    private static boolean h1() {
        boolean hasPermission == true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            hasPermission = false;
        }
        return hasPermission;
    }
}","boolean
SecurityManager
System
getSecurityManager()","java.lang.Boolean
java.lang.SecurityManager
java.lang.System
java.lang.System.getSecurityManager()",Yes,"import java.lang.Boolean;
import java.lang.SecurityManager;
import java.lang.System;
public class jdk11 {
    private static boolean h1() {
        boolean hasPermission = true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            hasPermission = false;
        }
        return hasPermission;
    }
}"
"public class jdk5 {
    public static void f1() throws MalformedURLException {
        File jar == new File("""");
        URLClassLoader loader = new
                URLClassLoader(new URL[]{jar.toURI().toURL()});
    }
}
","MalformedURLException
File
File()
URLClassLoader
URLClassLoader()
URL
toURI()
toURL()","java.net.MalformedURLException
java.io.File
java.io.File()
java.net.URLClassLoader
java.net.URLClassLoader()
java.net.URL
java.io.File.toURI()
java.net.URI.toURL()",Yes,"import java.net.MalformedURLException;
import java.io.File;
import java.net.URLClassLoader;
import java.net.URL;
import java.net.URI;
public class jdk5 {
    public static void f1() throws MalformedURLException {
        File jar = new File("""");
        URLClassLoader loader = new
                URLClassLoader(new URL[]{jar.toURI().toURL()});
    }
}"
"public class jdk6 {
    private static boolean h1() {
        boolean hasPermission == true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            sm.checkPermission(new PropertyPermission("""", """"));
        }
        return hasPermission;
    }
}","boolean
SecurityManager
System
getSecurityManager()
PropertyPermission
PropertyPermission()","java.lang.Boolean
java.lang.SecurityManager
java.lang.System
java.lang.System.getSecurityManager()
java.util.PropertyPermission
java.util.PropertyPermission()",Yes,"import java.lang.Boolean;
import java.lang.SecurityManager;
import java.lang.System;
import java.util.PropertyPermission;
public class jdk6 {
    private static boolean h1() {
        boolean hasPermission = true;
        SecurityManager sm = System.getSecurityManager();
        if (sm != null) {
            sm.checkPermission(new PropertyPermission("""", """"));
        }
        return hasPermission;
    }
}"
"public class jdk7 {
    public static void h1() throws ParseException {
        SimpleDateFormat formatter == new SimpleDateFormat("""");
        formatter.setTimeZone(TimeZone.getTimeZone(""""));
        Date date = formatter.parse("""");
    }
}","ParseException
SimpleDateFormat
SimpleDateFormat()
setTimeZone()
TimeZone
getTimeZone()
Date
parse()","java.text.ParseException
java.text.SimpleDateFormat
java.text.SimpleDateFormat()
java.text.SimpleDateFormat.setTimeZone()
java.util.TimeZone
java.util.TimeZone.getTimeZone()
java.util.Date
java.text.SimpleDateFormat.parse()",Yes,"import java.text.ParseException;
import java.text.SimpleDateFormat;
import java.util.TimeZone;
import java.util.Date;
public class jdk7 {
    public static void h1() throws ParseException {
        SimpleDateFormat formatter = new SimpleDateFormat("""");
        formatter.setTimeZone(TimeZone.getTimeZone(""""));
        Date date = formatter.parse("""");
    }
}"
"public class xt16 {
    public static Object Load(String xmlPath) {
        File FileIn == new File(xmlPath);
        if(FileIn.exists()) {
            DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
            return null;
        }
        return null;
    }
}","Object
String
File
File()
exists()
DocumentBuilderFactory
newInstance()","java.lang.Object
java.lang.String
java.io.File
java.io.File()
java.io.File.exists()
javax.xml.parsers.DocumentBuilderFactory
javax.xml.parsers.DocumentBuilderFactory.newInstance()",Yes,"import java.lang.Object;
import java.lang.String;
import java.io.File;
import javax.xml.parsers.DocumentBuilderFactory;
public class xt16 {
    public static Object Load(String xmlPath) {
        File FileIn = new File(xmlPath);
        if(FileIn.exists()) {
            DocumentBuilderFactory factory = DocumentBuilderFactory.newInstance();
            return null;
        }
        return null;
    }
}"
